127.0.0.1, 2016-05-16 15:09:55, GET, /fmgqcx/static/js/web2py.js, HTTP/1.1, 304, 0.001070
127.0.0.1, 2016-05-16 15:09:55, GET, /fmgqcx/static/css/calendar.css, HTTP/1.1, 304, 0.002214
127.0.0.1, 2016-05-16 15:09:55, GET, /fmgqcx/static/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000700
127.0.0.1, 2016-05-16 15:09:55, GET, /fmgqcx/static/js/calendar.js, HTTP/1.1, 304, 0.001324
127.0.0.1, 2016-05-16 15:09:55, GET, /fmgqcx/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000379
127.0.0.1, 2016-05-16 15:09:55, GET, /fmgqcx/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000358
127.0.0.1, 2016-05-16 15:09:55, GET, /fmgqcx/static/lhgdialog/lhgdialog.min.js, HTTP/1.1, 304, 0.000390
127.0.0.1, 2016-05-16 15:09:56, GET, /fmgqcx/static/lhgdialog/skins/default.css, HTTP/1.1, 304, 0.000293
127.0.0.1, 2016-05-16 15:09:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000521
127.0.0.1, 2016-05-16 15:09:56, GET, /fmgqcx/static/img/confirm.gif, HTTP/1.1, 404, 0.000514
127.0.0.1, 2016-05-16 15:09:57, GET, /fmgqcx/static/img/confirm.gif, HTTP/1.1, 404, 0.000438
127.0.0.1, 2016-05-16 15:11:40, GET, /fmgqcx/static/img/confirm.gif, HTTP/1.1, 404, 0.000350
127.0.0.1, 2016-05-16 15:16:44, GET, /fmgqcx/user/index, HTTP/1.1, 200, 0.656639
127.0.0.1, 2016-05-16 15:16:44, GET, /fmgqcx/static/js/jquery.js, HTTP/1.1, 304, 0.000466
127.0.0.1, 2016-05-16 15:16:44, GET, /fmgqcx/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000377
127.0.0.1, 2016-05-16 15:16:44, GET, /fmgqcx/static/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.001009
127.0.0.1, 2016-05-16 15:16:44, GET, /fmgqcx/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000457
127.0.0.1, 2016-05-16 15:16:44, GET, /fmgqcx/static/css/calendar.css, HTTP/1.1, 304, 0.000386
127.0.0.1, 2016-05-16 15:16:44, GET, /fmgqcx/static/js/calendar.js, HTTP/1.1, 304, 0.000373
127.0.0.1, 2016-05-16 15:16:44, GET, /fmgqcx/static/js/web2py.js, HTTP/1.1, 304, 0.000721
127.0.0.1, 2016-05-16 15:16:44, GET, /fmgqcx/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000311
127.0.0.1, 2016-05-16 15:16:44, GET, /fmgqcx/static/lhgdialog/lhgdialog.min.js, HTTP/1.1, 200, 0.000476
127.0.0.1, 2016-05-16 15:16:45, GET, /fmgqcx/static/lhgdialog/skins/default.css, HTTP/1.1, 200, 0.000303
